code,ballot,winner,valid,spoilt,,,,,,,,
ETH,N,EPRDF,19430938,569062,,,,,,,,
ETH,P,EPRDF,,,,,,,,,,
AA,N,EPRDF,1100777,0,,,,,,,,
AA,P,EPRDF,,,,,,,,,,
AF,N,EPRDF,,,,,,,,,,
AF,P,EPRDF,,,,,,,,,,
AM,N,EPRDF,6017247,0,,,,,,,,
AM,P,EPRDF,,,,,,,,,,
BG,N,EPRDF,,,,,,,,,,0
BG,P,EPRDF,,,,,,,,,,
DD,N,EPRDF,,,,,,,,,,
DD,P,EPRDF,,,,,,,,,,
GP,N,EPRDF,,,,,,,,,,
GP,P,EPRDF,,,,,,,,,,
HP,N,EPRDF,3930,0,,,,,,,,
HP,P,EPRDF,,,,,,,,,,
OR,N,EPRDF,4522447,0,,,,,,,,
OR,P,EPRDF,,,,,,,,,,
SO,N,EPRDF,3730500,0,,,,,,,,
SO,P,EPRDF,,,,,,,,,,
SN,N,EPRDF,2814885,0,,,,,,,,
SN,P,EPRDF,,,,,,,,,,
TI,N,EPRDF,1365179,0,,,,,,,,
TI,P,EPRDF,,,,,,,,,,
AA1,N,EPRDF,,,,,,,,,,
AA1,N,EPRDF,,,,,,,,,,
AZ1,N,EPRDF,,,,,,,,,,
AZ1,P,EPRDF,,,,,,,,,,
AZ2,N,EPRDF,,,,,,,,,,
AZ2,P,EPRDF,,,,,,,,,,
AZ3,N,EPRDF,,,,,,,,,,
AZ3,P,EPRDF,,,,,,,,,,
AZ4,N,EPRDF,,,,,,,,,,
AZ4,P,EPRDF,,,,,,,,,,
AZ5,N,EPRDF,,,,,,,,,,
AZ5,P,EPRDF,,,,,,,,,,
AZ6,N,EPRDF,,,,,,,,,,
AZ6,P,EPRDF,,,,,,,,,,
AF1,N,EPRDF,,,,,,,,,,
AF1,P,EPRDF,,,,,,,,,,
AF2,N,EPRDF,,,,,,,,,,
AF2,P,EPRDF,,,,,,,,,,
AF3,N,EPRDF,,,,,,,,,,
AF3,P,EPRDF,,,,,,,,,,
AF4,N,EPRDF,,,,,,,,,,
AF4,P,EPRDF,,,,,,,,,,
AF5,N,EPRDF,,,,,,,,,,
AF5,P,EPRDF,,,,,,,,,,
AM1,N,EPRDF,,,,,,,,,,
AM1,P,EPRDF,,,,,,,,,,
AM2,N,EPRDF,,,,,,,,,,
AM2,P,EPRDF,,,,,,,,,,
AM3,N,EPRDF,,,,,,,,,,
AM3,P,EPRDF,,,,,,,,,,
AM4,N,EPRDF,,,,,,,,,,
AM4,P,EPRDF,,,,,,,,,,
AM5,N,EPRDF,,,,,,,,,,
AM5,P,EPRDF,,,,,,,,,,
AM6,N,EPRDF,,,,,,,,,,
AM6,P,EPRDF,,,,,,,,,,
AM7,N,EPRDF,,,,,,,,,,
AM7,P,EPRDF,,,,,,,,,,
AM8,N,EPRDF,,,,,,,,,,
AM8,P,EPRDF,,,,,,,,,,
AM9,N,EPRDF,,,,,,,,,,
AM9,P,EPRDF,,,,,,,,,,
AM10,N,EPRDF,,,,,,,,,,
AM10,P,EPRDF,,,,,,,,,,
AM11,N,EPRDF,,,,,,,,,,
AM11,P,EPRDF,,,,,,,,,,
BG1,N,EPRDF,,,,,,,,,,
BG1,P,EPRDF,,,,,,,,,,
BG2,N,EPRDF,,,,,,,,,,
BG2,P,EPRDF,,,,,,,,,,
BG3,N,EPRDF,,,,,,,,,,
BG3,P,EPRDF,,,,,,,,,,
DD1,N,EPRDF,,,,,,,,,,
DD1,P,EPRDF,,,,,,,,,,
GP1,N,EPRDF,,,,,,,,,,
GP1,P,EPRDF,,,,,,,,,,
GP2,N,EPRDF,,,,,,,,,,
GP2,P,EPRDF,,,,,,,,,,
HP1,N,EPRDF,,,,,,,,,,
HP1,P,EPRDF,,,,,,,,,,
OR1,N,EPRDF,,,,,,,,,,
OR1,P,EPRDF,,,,,,,,,,
OR2,N,EPRDF,,,,,,,,,,
OR2,P,EPRDF,,,,,,,,,,
OR3,N,EPRDF,,,,,,,,,,
OR3,P,EPRDF,,,,,,,,,,
OR4,N,EPRDF,,,,,,,,,,
OR4,P,EPRDF,,,,,,,,,,
OR5,N,EPRDF,,,,,,,,,,
OR5,P,EPRDF,,,,,,,,,,
OR6,N,EPRDF,,,,,,,,,,
OR6,P,EPRDF,,,,,,,,,,
OR7,N,EPRDF,,,,,,,,,,
OR7,P,EPRDF,,,,,,,,,,
OR8,N,EPRDF,,,,,,,,,,
OR8,P,EPRDF,,,,,,,,,,
OR9,N,EPRDF,,,,,,,,,,
OR9,P,EPRDF,,,,,,,,,,
OR10,N,EPRDF,,,,,,,,,,
OR10,P,EPRDF,,,,,,,,,,
OR11,N,EPRDF,,,,,,,,,,
OR11,P,EPRDF,,,,,,,,,,
OR12,N,EPRDF,,,,,,,,,,
OR12,P,EPRDF,,,,,,,,,,
SO1,N,EPRDF,,,,,,,,,,
SO1,P,EPRDF,,,,,,,,,,
SO2,N,EPRDF,,,,,,,,,,
SO2,P,EPRDF,,,,,,,,,,
SO3,N,EPRDF,,,,,,,,,,
SO3,P,EPRDF,,,,,,,,,,
SO4,N,EPRDF,,,,,,,,,,
SO4,P,EPRDF,,,,,,,,,,
SO5,N,EPRDF,,,,,,,,,,
SO5,P,EPRDF,,,,,,,,,,
SO6,N,EPRDF,,,,,,,,,,
SO6,P,EPRDF,,,,,,,,,,
SN1,N,EPRDF,,,,,,,,,,
SN1,P,EPRDF,,,,,,,,,,
SN2,N,EPRDF,,,,,,,,,,
SN2,P,EPRDF,,,,,,,,,,
SN3,N,EPRDF,,,,,,,,,,
SN3,P,EPRDF,,,,,,,,,,
SN4,N,EPRDF,,,,,,,,,,
SN4,P,EPRDF,,,,,,,,,,
SN5,N,EPRDF,,,,,,,,,,
SN5,P,EPRDF,,,,,,,,,,
SN6,N,EPRDF,,,,,,,,,,
SN6,P,EPRDF,,,,,,,,,,
SN7,N,EPRDF,,,,,,,,,,
SN7,P,EPRDF,,,,,,,,,,
SN8,N,EPRDF,,,,,,,,,,
SN8,P,EPRDF,,,,,,,,,,
SN9,N,EPRDF,,,,,,,,,,
SN9,P,EPRDF,,,,,,,,,,
SN10,N,EPRDF,,,,,,,,,,
SN10,P,EPRDF,,,,,,,,,,
SN11,N,EPRDF,,,,,,,,,,
SN11,P,EPRDF,,,,,,,,,,
SN12,N,EPRDF,,,,,,,,,,
SN12,P,EPRDF,,,,,,,,,,
SN13,N,EPRDF,,,,,,,,,,
SN13,P,EPRDF,,,,,,,,,,
SN14,N,EPRDF,,,,,,,,,,
SN14,P,EPRDF,,,,,,,,,,
SN15,N,EPRDF,,,,,,,,,,
SN15,P,EPRDF,,,,,,,,,,
SN16,N,EPRDF,,,,,,,,,,
SN16,P,EPRDF,,,,,,,,,,
SN17,N,EPRDF,,,,,,,,,,
SN17,P,EPRDF,,,,,,,,,,
SN18,N,EPRDF,,,,,,,,,,
SN18,P,EPRDF,,,,,,,,,,
SN19,N,EPRDF,,,,,,,,,,
SN19,P,EPRDF,,,,,,,,,,
TI1,N,EPRDF,,,,,,,,,,
TI1,P,EPRDF,,,,,,,,,,
TI2,N,EPRDF,,,,,,,,,,
TI2,P,EPRDF,,,,,,,,,,
TI3,N,EPRDF,,,,,,,,,,
TI3,P,EPRDF,,,,,,,,,,
TI4,N,EPRDF,,,,,,,,,,
TI4,P,EPRDF,,,,,,,,,,
TI5,N,EPRDF,,,,,,,,,,
TI5,P,EPRDF,,,,,,,,,,
